Date;Wind speed  (vc avg);Wind  direction  (vc avg);Wind  speed (max);Wind Dir.(Max wind speed);latitude;longitude;station_id
08 Aug 2017;2.3;270.63100132849;6.3;300.8;-24.1296;15.8947;31201
09 Aug 2017;1.5;237.63578319695;4.7;228.6;-24.1296;15.8947;31201
10 Aug 2017;1.5;254.72109878862;5.3;279.9;-24.1296;15.8947;31201
11 Aug 2017;1.9;219.81995992301;5.2;219.8;-24.1296;15.8947;31201
12 Aug 2017;1.7;223.0730187027;5.2;219.3;-24.1296;15.8947;31201
13 Aug 2017;1.3;209.69410179335;5.6;187.3;-24.1296;15.8947;31201
14 Aug 2017;0.9;285.66114440791;6.8;357.5;-24.1296;15.8947;31201
15 Aug 2017;2.1;238.32823941077;6.1;228.9;-24.1296;15.8947;31201
16 Aug 2017;2.9;190.17123699369;5.8;205.5;-24.1296;15.8947;31201
17 Aug 2017;3.3;101.61022092703;6.8;103.1;-24.1296;15.8947;31201
18 Aug 2017;3.5;79.557485903829;6.7;66.11;-24.1296;15.8947;31201
19 Aug 2017;2.9;304.26183575989;7.4;330.3;-24.1296;15.8947;31201
20 Aug 2017;1.7;239.43494719647;5.8;307.1;-24.1296;15.8947;31201
21 Aug 2017;1.8;215.78693628488;5.2;258.9;-24.1296;15.8947;31201
22 Aug 2017;1.2;228.40813853939;3.8;185.3;-24.1296;15.8947;31201
23 Aug 2017;0.9;217.42249849539;5.6;241.3;-24.1296;15.8947;31201
24 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
25 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
26 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
27 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
28 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
29 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
30 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
31 Aug 2017;;;0.0;0.0;-24.1296;15.8947;31201
01 May 2018;;;;;-24.1296;15.8947;31201
02 May 2018;;;;;-24.1296;15.8947;31201
03 May 2018;;;;;-24.1296;15.8947;31201
04 May 2018;;;;;-24.1296;15.8947;31201
05 May 2018;;;;;-24.1296;15.8947;31201
06 May 2018;;;;;-24.1296;15.8947;31201
07 May 2018;;;;;-24.1296;15.8947;31201
08 May 2018;;;;;-24.1296;15.8947;31201
09 May 2018;;;;;-24.1296;15.8947;31201
10 May 2018;;;;;-24.1296;15.8947;31201
11 May 2018;;;;;-24.1296;15.8947;31201
12 May 2018;;;;;-24.1296;15.8947;31201
13 May 2018;;;;;-24.1296;15.8947;31201
14 May 2018;;;;;-24.1296;15.8947;31201
15 May 2018;;;;;-24.1296;15.8947;31201
16 May 2018;;;;;-24.1296;15.8947;31201
17 May 2018;;;;;-24.1296;15.8947;31201
18 May 2018;;;;;-24.1296;15.8947;31201
19 May 2018;;;;;-24.1296;15.8947;31201
20 May 2018;;;;;-24.1296;15.8947;31201
21 May 2018;;;;;-24.1296;15.8947;31201
22 May 2018;;;;;-24.1296;15.8947;31201
23 May 2018;;;;;-24.1296;15.8947;31201
24 May 2018;;;;;-24.1296;15.8947;31201
25 May 2018;;;;;-24.1296;15.8947;31201
26 May 2018;;;;;-24.1296;15.8947;31201
27 May 2018;;;;;-24.1296;15.8947;31201
28 May 2018;;;;;-24.1296;15.8947;31201
29 May 2018;;;;;-24.1296;15.8947;31201
30 May 2018;;;;;-24.1296;15.8947;31201
31 May 2018;;;;;-24.1296;15.8947;31201
01 Jun 2018;;;;;-24.1296;15.8947;31201
02 Jun 2018;;;;;-24.1296;15.8947;31201
03 Jun 2018;;;;;-24.1296;15.8947;31201
04 Jun 2018;;;;;-24.1296;15.8947;31201
05 Jun 2018;;;;;-24.1296;15.8947;31201
06 Jun 2018;;;;;-24.1296;15.8947;31201
07 Jun 2018;;;;;-24.1296;15.8947;31201
08 Jun 2018;;;;;-24.1296;15.8947;31201
09 Jun 2018;;;;;-24.1296;15.8947;31201
10 Jun 2018;;;;;-24.1296;15.8947;31201
11 Jun 2018;;;;;-24.1296;15.8947;31201
12 Jun 2018;;;;;-24.1296;15.8947;31201
13 Jun 2018;;;;;-24.1296;15.8947;31201
14 Jun 2018;;;;;-24.1296;15.8947;31201
15 Jun 2018;;;;;-24.1296;15.8947;31201
16 Jun 2018;;;;;-24.1296;15.8947;31201
17 Jun 2018;;;;;-24.1296;15.8947;31201
18 Jun 2018;;;;;-24.1296;15.8947;31201
19 Jun 2018;;;;;-24.1296;15.8947;31201
20 Jun 2018;;;;;-24.1296;15.8947;31201
21 Jun 2018;;;;;-24.1296;15.8947;31201
22 Jun 2018;;;;;-24.1296;15.8947;31201
23 Jun 2018;;;;;-24.1296;15.8947;31201
24 Jun 2018;;;;;-24.1296;15.8947;31201
25 Jun 2018;;;;;-24.1296;15.8947;31201
26 Jun 2018;;;;;-24.1296;15.8947;31201
27 Jun 2018;;;;;-24.1296;15.8947;31201
28 Jun 2018;;;;;-24.1296;15.8947;31201
29 Jun 2018;;;;;-24.1296;15.8947;31201
30 Jun 2018;;;;;-24.1296;15.8947;31201
01 Jul 2018;;;;;-24.1296;15.8947;31201
02 Jul 2018;;;;;-24.1296;15.8947;31201
03 Jul 2018;;;;;-24.1296;15.8947;31201
04 Jul 2018;;;;;-24.1296;15.8947;31201
05 Jul 2018;;;;;-24.1296;15.8947;31201
06 Jul 2018;;;;;-24.1296;15.8947;31201
07 Jul 2018;;;;;-24.1296;15.8947;31201
08 Jul 2018;;;;;-24.1296;15.8947;31201
09 Jul 2018;;;;;-24.1296;15.8947;31201
10 Jul 2018;;;;;-24.1296;15.8947;31201
11 Jul 2018;;;;;-24.1296;15.8947;31201
12 Jul 2018;;;;;-24.1296;15.8947;31201
13 Jul 2018;;;;;-24.1296;15.8947;31201
14 Jul 2018;;;;;-24.1296;15.8947;31201
15 Jul 2018;;;;;-24.1296;15.8947;31201
16 Jul 2018;;;;;-24.1296;15.8947;31201
17 Jul 2018;;;;;-24.1296;15.8947;31201
18 Jul 2018;;;;;-24.1296;15.8947;31201
19 Jul 2018;;;;;-24.1296;15.8947;31201
20 Jul 2018;;;;;-24.1296;15.8947;31201
21 Jul 2018;;;;;-24.1296;15.8947;31201
22 Jul 2018;;;;;-24.1296;15.8947;31201
23 Jul 2018;;;;;-24.1296;15.8947;31201
24 Jul 2018;;;;;-24.1296;15.8947;31201
25 Jul 2018;;;;;-24.1296;15.8947;31201
26 Jul 2018;;;;;-24.1296;15.8947;31201
27 Jul 2018;;;;;-24.1296;15.8947;31201
28 Jul 2018;;;;;-24.1296;15.8947;31201
29 Jul 2018;;;;;-24.1296;15.8947;31201
30 Jul 2018;;;;;-24.1296;15.8947;31201
31 Jul 2018;;;;;-24.1296;15.8947;31201
01 Aug 2018;;;;;-24.1296;15.8947;31201
02 Aug 2018;;;;;-24.1296;15.8947;31201
03 Aug 2018;;;;;-24.1296;15.8947;31201
04 Aug 2018;;;;;-24.1296;15.8947;31201
05 Aug 2018;;;;;-24.1296;15.8947;31201
06 Aug 2018;;;;;-24.1296;15.8947;31201
07 Aug 2018;;;;;-24.1296;15.8947;31201
08 Aug 2018;;;;;-24.1296;15.8947;31201
09 Aug 2018;;;;;-24.1296;15.8947;31201
10 Aug 2018;;;;;-24.1296;15.8947;31201
11 Aug 2018;;;;;-24.1296;15.8947;31201
12 Aug 2018;;;;;-24.1296;15.8947;31201
13 Aug 2018;;;;;-24.1296;15.8947;31201
14 Aug 2018;;;;;-24.1296;15.8947;31201
15 Aug 2018;;;;;-24.1296;15.8947;31201
16 Aug 2018;;;;;-24.1296;15.8947;31201
17 Aug 2018;;;;;-24.1296;15.8947;31201
18 Aug 2018;;;;;-24.1296;15.8947;31201
19 Aug 2018;;;;;-24.1296;15.8947;31201
20 Aug 2018;;;;;-24.1296;15.8947;31201
21 Aug 2018;;;;;-24.1296;15.8947;31201
22 Aug 2018;;;;;-24.1296;15.8947;31201
23 Aug 2018;;;;;-24.1296;15.8947;31201
24 Aug 2018;;;;;-24.1296;15.8947;31201
25 Aug 2018;;;;;-24.1296;15.8947;31201
26 Aug 2018;;;;;-24.1296;15.8947;31201
27 Aug 2018;;;;;-24.1296;15.8947;31201
28 Aug 2018;;;;;-24.1296;15.8947;31201
29 Aug 2018;;;;;-24.1296;15.8947;31201
30 Aug 2018;;;;;-24.1296;15.8947;31201
31 Aug 2018;;;;;-24.1296;15.8947;31201
01 May 2019;;;;;-24.1296;15.8947;31201
02 May 2019;;;;;-24.1296;15.8947;31201
03 May 2019;;;;;-24.1296;15.8947;31201
04 May 2019;;;;;-24.1296;15.8947;31201
05 May 2019;;;;;-24.1296;15.8947;31201
06 May 2019;;;;;-24.1296;15.8947;31201
07 May 2019;;;;;-24.1296;15.8947;31201
